Brand Name,Get Started URL,README Link
OpenDA,http://www.openda.org/,https://raw.githubusercontent.com/OpenDA-Association/OpenDA/master/README.md
Parcels,https://oceanparcels.org/,https://raw.githubusercontent.com/OceanParcels/Parcels/main/README.md
Ldot,https://www.Ldot.org,
Overture Song,https://www.overture.bio/products/song/,https://raw.githubusercontent.com/overture-stack/SONG/master/README.md
IRIDA,https://irida.ca/,https://raw.githubusercontent.com/phac-nml/irida/main/README.md
Overture Score,https://www.overture.bio/products/score/,https://raw.githubusercontent.com/overture-stack/score/master/README.md
FLAME GPU,https://docs.flamegpu.com/,https://raw.githubusercontent.com/FLAMEGPU/.github/main/README.md
Streetview Segmentation,,https://raw.githubusercontent.com/UtrechtUniversity/streetview-segmentation/main/README.md
dtscalibration,https://python-dts-calibration.readthedocs.io,Not Found
ICD_GEMs.jl,https://juliahealth.org/ICD_GEMs.jl/dev,https://raw.githubusercontent.com/JuliaHealth/ICD_GEMs.jl/main/README.md
SimVascular,http://simvascular.github.io/,https://raw.githubusercontent.com/SimVascular/SimVascular/master/README.md
CanDIG CHORD,https://chord-docs.readthedocs.io/en/latest/,https://raw.githubusercontent.com/c3g/chord_singularity/master/README.md
Plus Toolkit,https://plustoolkit.github.io/,https://raw.githubusercontent.com/PlusToolkit/PlusLib/master/README.md
PhenoTips,https://phenotips.com/index.html,https://raw.githubusercontent.com/phenotips/phenotips/master/README.md
Open Computational Multiphysics ,https://opencmp.io/,https://raw.githubusercontent.com/uw-comphys/opencmp/main/README.md
Scholia,https://scholia.toolforge.org/,Not Found
PathVisio,https://pathvisio.org/,Not Found
ARISE biocloud,https://gitlab.com/arise-biodiversity/biocloud/core/biocloud-core/-/blob/main/README.md?ref_type=heads#biocloud-core,
LARA,https://gitlab.com/LARAsuite/lara/-/blob/master/README.md?ref_type=heads,https://gitlab.com/LARAsuite/lara/-/blob/master/README.md?ref_type=heads
Arpra,,https://raw.githubusercontent.com/arpra-project/arpra/master/README.md
WEARDA,,https://raw.githubusercontent.com/LiacsProjects/Wearda/main/README.md
haddock3,https://www.bonvinlab.org/haddock3/,https://raw.githubusercontent.com/haddocking/haddock3/main/README.md
Atlascine,https://rs-atlascine.concordia.ca/index.html,https://raw.githubusercontent.com/geomedialab/atlascine/main/README.md
Canadian Writing Research Collaboratory (CWRC),https://cwrc.ca/,Not Found
CWRC-Writer,https://cwrc-writer.cwrc.ca/,https://raw.githubusercontent.com/cwrc/CWRC-WriterBase/master/README.md
DataStream,https://mackenziedatastream.ca/en/,
Chemistry Development Kit,https://cdk.github.io/,https://raw.githubusercontent.com/cdk/cdk/main/README.md
CBRAIN,https://portal.cbrain.mcgill.ca/login,https://raw.githubusercontent.com/aces/cbrain/master/README.md
iEnvironment,https://www.comap.ca/fwis/,
Geodisy,https://geo.frdr-dfdr.ca/,https://raw.githubusercontent.com/ubc-library/geodisy/master/README.md
ChemTools,https://chemtools.org/,https://raw.githubusercontent.com/theochem/chemtools/master/README.md
BridgeDbR,https://www.bioconductor.org/packages/release/bioc/html/BridgeDbR.html,https://raw.githubusercontent.com/bridgedb/BridgeDbR/master/README.md
Radiam,https://radiam.readthedocs.io/en/latest/,https://raw.githubusercontent.com/usask-rc/radiam/master/README.md
Springtime,https://springtime.readthedocs.io/en/latest/,https://raw.githubusercontent.com/phenology/springtime/main/README.md
Lofar Predictive Maintenance,,
Nature Counts,https://naturecounts.ca/nc/default/main.jsp,https://raw.githubusercontent.com/BirdsCanada/naturecounts/main/README.md
MINTED,https://data.oceannetworks.ca/home,
Mass Spec Studio for Clinical Proteomics,https://www.msstudio.ca/openms/,
Research Lifecycle Approach using Islandora,https://islandora-rdm.researchspaces.ca/,https://raw.githubusercontent.com/roblib/rdm-playbook/master/README.md
grlc,http://grlc.io/,https://raw.githubusercontent.com/CLARIAH/grlc/master/README.md
ROBIST,,https://raw.githubusercontent.com/JustinStarreveld/ROBIST/main/README.md
LORIS,https://loris.ca/,https://raw.githubusercontent.com/aces/Loris/main/README.md
Mass Spec Studio,https://www.msstudio.ca/,
Motus Wildlife Tracking System,https://motus.org/,https://raw.githubusercontent.com/MotusWTS/motus/main/README.md
MSS-IMProv,https://www.msstudio.ca/mss-improv/,
OBiBa Opal,https://www.obiba.org/pages/products/opal/,https://raw.githubusercontent.com/obiba/opal/master/README.md
BridgeDb Webservice,https://webservice.bridgedb.org/,https://raw.githubusercontent.com/bridgedb/BridgeDbWebservice/main/README.md
OpenPNM,https://openpnm.org/,https://raw.githubusercontent.com/OpenMS/OpenMS/master/README.md
4CAT Capture & Analysis Toolkit,https://4cat.nl,https://raw.githubusercontent.com/digitalmethodsinitiative/4cat/master/README.md
OBiBa Mica,https://www.obiba.org/pages/products/mica/,https://raw.githubusercontent.com/obiba/mica2/master/README.md
Nunaliit,https://nunaliit.org/,https://raw.githubusercontent.com/GCRC/nunaliit/master/README.md
Zeeschuimer,,https://raw.githubusercontent.com/digitalmethodsinitiative/zeeschuimer/master/README.md
OpenMS,https://www.openms.de/,https://raw.githubusercontent.com/OpenMS/OpenMS/master/README.md
PACTE,http://pacte.crim.ca/,
PoreSpy,https://porespy.org/,https://raw.githubusercontent.com/PMEAL/porespy/master/README.md
Virtual Health Gateway,https://vhg.indocresearch.org/,
Overture Data Management System,https://www.overture.bio/,https://raw.githubusercontent.com/overture-stack/dms/main/README.md
NeuroAnalyzer,https://neuroanalyzer.org/,
citation.js,https://citation.js.org/,https://raw.githubusercontent.com/citation-js/citation-js/main/README.md
Tissue Simulation Toolkit,https://www.mathbioleiden.nl/tst-docs/docs/html/index.html,Not Found
duqtools,https://duqtools.readthedocs.io,https://raw.githubusercontent.com/duqtools/duqtools/main/README.md
CanWIN,https://canwin-datahub.ad.umanitoba.ca/,
BIRCH,http://home.cc.umanitoba.ca/~psgendb/,
ICGC ARGO ,https://platform.icgc-argo.org/,https://raw.githubusercontent.com/icgc-argo/argo-docs/main/README.md
Canadian Advanced Network for Astronomical Research (CANFAR),https://www.canfar.net/en/,https://raw.githubusercontent.com/canfar/canfarproc/master/README.md
3D Slicer,https://www.slicer.org/,https://raw.githubusercontent.com/Slicer/Slicer/main/README.md
 PanTools,https://pantools.readthedocs.io/en/stable/,https://git.wur.nl/bioinformatics/pantools/-/blob/pantools_v4/README.md?ref_type=heads
PanTools-pipeline-v4,,https://raw.githubusercontent.com/PanUtils/pantools-pipeline-v4/main/README.md
ISAAC Chrome extension,https://chrome.google.com/webstore/detail/isaac-chrome-extension/kiljfbiapahlahhilgcgfkfjnkgggode?hl=en-GB&authuser=0,https://raw.githubusercontent.com/citation-js/isaac-chrome-extension/main/README.md
BrainBrowser,https://brainbrowser.cbrain.mcgill.ca/,https://raw.githubusercontent.com/aces/brainbrowser/master/README.md
CanGeo Project,http://cangeo.crim.ca/hydro,
PanVA,,https://raw.githubusercontent.com/PanBrowse/PanVA/main/README.md
cudawrappers,https://cudawrappers.readthedocs.io/en/latest/,https://raw.githubusercontent.com/nlesc-recruit/cudawrappers/main/README.md
PAVICS,https://pavics.ouranos.ca/,https://raw.githubusercontent.com/Ouranosinc/PAVICS-landing/master/README.md
ArcticConnect,https://arcticconnect.org/arcticconnect,Not Found
Islandora,https://www.islandora.ca/,https://raw.githubusercontent.com/Islandora/islandora/main/README.md
OBiBa Agate,https://www.obiba.org/pages/products/agate/,https://raw.githubusercontent.com/obiba/agate/master/README.md
NPLinker eScience Workshop GenMetMine Materials,https://doi.org/10.5281/zenodo.7801713,
Citation File Format,https://citation-file-format.github.io/,https://raw.githubusercontent.com/citation-file-format/citation-file-format/main/README.md
Foot Progression Angle Estimation,,https://gitlab.utwente.nl/bss_development/movement-science/fpa-estimation/-/blob/main/README.MD?ref_type=heads
m4ma,,https://raw.githubusercontent.com/m4ma/m4ma/main/README.md
GenAP,https://genap.ca/,
iReceptor Gateway,http://www.ireceptor.org/,https://raw.githubusercontent.com/sfu-ireceptor/gateway/master/README.md
Overture Arranger,https://www.overture.bio/products/arranger/,https://raw.githubusercontent.com/overture-stack/arranger/main/README.md
Overture Maestro,https://www.overture.bio/products/maestro/,https://raw.githubusercontent.com/overture-stack/maestro/master/README.md
TraP: The LOFAR Transients Pipeline ,https://docs.transientskp.org/,Not Found
dhdt,https://dhdt.readthedocs.io,https://github.com/GO-Eratosthenes/dhdt/blob/master/README.rst
openPSTD,http://www.openpstd.org/wiki/index.php/OpenPSTD,https://raw.githubusercontent.com/openPSTD/openPSTD/master/README.md
dCacheFS,https://dcachefs.readthedocs.io,Not Found
Arctic Web Map,https://webmap.arcticconnect.ca/#ac_3573/2/90.0/0.0,Not Found
STAC2dCache,https://stac2dcache.readthedocs.io/,Not Found
SlicerIGT,http://www.slicerigt.org/wp/,https://raw.githubusercontent.com/SlicerIGT/SlicerIGT/master/README.md
SlicerRT,http://slicerrt.github.io/,Not Found
Research Software Directory,https://research-software-directory.org,https://raw.githubusercontent.com/research-software-directory/RSD-as-a-service/main/README.md
Ocean Networks Canada,https://data.oceannetworks.ca/home,
Virus Seq,https://virusseq-dataportal.ca/,https://raw.githubusercontent.com/virusseq/portal-ui/main/README.md
PowerSensor3,,https://raw.githubusercontent.com/nlesc-recruit/PowerSensor3/main/README.md
IMAGE-LAND-LUE,,https://raw.githubusercontent.com/UtrechtUniversity/IMAGE-LAND-LUE/main/README.md
zampy,,https://raw.githubusercontent.com/EcoExtreML/zampy/main/README.md
minimism,,
infra-stemmus-scope,,https://raw.githubusercontent.com/EcoExtreML/infra/main/README.md
swyft,https://swyft.readthedocs.io/en/latest/,Not Found
PyStemmusScope,,https://raw.githubusercontent.com/EcoExtreML/STEMMUS_SCOPE_Processing/main/README.md
eOSSR ,https://escape2020.pages.in2p3.fr/wp3/eossr/,https://gitlab.com/escape-ossr/eossr/-/blob/master/README.md?ref_type=heads
asrlitcompare,,https://raw.githubusercontent.com/langtonhugh/asreview_irr/main/README.md
STEMMUS_SCOPE,,https://raw.githubusercontent.com/EcoExtreML/STEMMUS_SCOPE/main/README.md
XrayTIFF2h5 ,,
SmartPlay,,https://raw.githubusercontent.com/ctwhome/SmartPlay/main/README.md
the FAIR extension,https://chrome.google.com/webstore/detail/the-fair-extension/pjmiddoifhbhbfcppdbmaigdeoiochdg,https://raw.githubusercontent.com/MaastrichtU-Library/the-FAIR-extension/main/README.md
jaspProcess,,https://raw.githubusercontent.com/jasp-stats/jaspProcess/master/README.md
TIMP,https://www.jstatsoft.org/article/view/v018i03,https://raw.githubusercontent.com/glotaran/TIMP/main/README.md
ReaxPro wrappers,,https://raw.githubusercontent.com/simphony/reaxpro-wrappers/main/README.md
Glotaran,https://glotaran.github.io/legacy/,https://raw.githubusercontent.com/glotaran/glotaran-legacy/main/README.md
pypfilt,https://pypfilt.readthedocs.io/en/latest/,
pyglotaran,https://pyglotaran.readthedocs.io/,https://raw.githubusercontent.com/glotaran/pyglotaran/main/README.md
GrainLearning,https://grainlearning.readthedocs.io/en/latest/?badge=latest,https://raw.githubusercontent.com/GrainLearning/grainLearning/main/README.md
UNSAT3D,,https://github.com/UNSAT3D/unsat/blob/main/README.md
qumia-train-scripts,,https://raw.githubusercontent.com/QUMIA/train-scripts/main/README.md
s2spy,https://ai4s2s.readthedocs.io/,https://raw.githubusercontent.com/AI4S2S/s2spy/main/README.md
Lilio,https://lilio.readthedocs.io/en/latest/,https://raw.githubusercontent.com/AI4S2S/lilio/main/README.md
ESMValTool,https://tutorial.esmvaltool.org,https://raw.githubusercontent.com/ESMValGroup/ESMValTool/main/README.md
DeepRank2,https://deeprank2.readthedocs.io/en/latest/getstarted.html,https://raw.githubusercontent.com/DeepRank/deeprank2/main/README.md
ReaxPro framework ontology,,https://raw.githubusercontent.com/simphony/reaxpro-framework-ontology/main/README.md
EEG_age_prediction,,https://raw.githubusercontent.com/eegyolk-ai/EEG_age_prediction/main/README.md
nedextract,https://pypi.org/project/nedextract/,https://raw.githubusercontent.com/Transparency-in-the-non-profit-sector/nedextract/main/README.md
SLEPLET,,https://raw.githubusercontent.com/astro-informatics/sleplet/main/README.md
holodev,,https://raw.githubusercontent.com/joenio/holodev/master/README.md
Drug named entity recognition,https://fastdatascience.com/drug-named-entity-recognition-python-library/,https://raw.githubusercontent.com/fastdatascience/drug_named_entity_recognition/main/README.md
NNPDF,,https://raw.githubusercontent.com/NNPDF/nnpdf/master/README.md
xarray-regrid,https://xarray-regrid.readthedocs.io/,https://raw.githubusercontent.com/xarray-contrib/xarray-regrid/main/README.md
Orange3 Argument Mining Add-on,https://orange3-argument.readthedocs.io/en/latest/,https://raw.githubusercontent.com/EyeofBeholder-NLeSC/orange3-argument/main/README.md
ESMValCore,https://docs.esmvaltool.org/projects/esmvalcore/en/latest/quickstart/install.html,https://raw.githubusercontent.com/ESMValGroup/ESMValCore/main/README.md
speckcn2,,https://raw.githubusercontent.com/MALES-project/SpeckleCn2Profiler/main/README.md
Rucio deployment for KM3NeT,https://git.km3net.de/rucio/rucio-deployment/-/blob/main/docs/installation.md,https://git.km3net.de/rucio/rucio-deployment/-/blob/main/README.md?ref_type=heads
Analizo,https://www.analizo.org/,https://raw.githubusercontent.com/analizo/analizo/main/README.md
grpc4bmi,https://grpc4bmi.readthedocs.io,https://raw.githubusercontent.com/eWaterCycle/grpc4bmi/main/README.md
GGIR,https://cran.r-project.org/web/packages/GGIR/vignettes/GGIR.html,https://raw.githubusercontent.com/wadpac/GGIR/master/README.md
open-DARTS,https://open-darts.gitlab.io/open-darts/,https://gitlab.com/open-darts/open-darts/-/blob/main/README.md?ref_type=heads
ASTRA Toolbox,https://astra-toolbox.com/docs/index.html,https://raw.githubusercontent.com/astra-toolbox/astra-toolbox/master/README.md
COPASI,https://copasi.org/Support/,https://raw.githubusercontent.com/copasi/COPASI/master/README.md
MUSCLE3,https://muscle3.readthedocs.io/,Not Found
AHN2 pointcloud viewer,http://ahn2.pointclouds.nl,https://raw.githubusercontent.com/NLeSC/ahn-pointcloud-viewer/master/README.md
AstronomicAL,https://astronomical.readthedocs.io/en/latest/,https://raw.githubusercontent.com/grant-m-s/AstronomicAL/master/README.md
gemdat,https://gemdat.readthedocs.io,https://raw.githubusercontent.com/GEMDAT-repos/GEMDAT/main/README.md
leakybucket,,https://raw.githubusercontent.com/eWaterCycle/leakybucket-bmi/main/README.md
Parallel Ice Sheet Model (PISM),https://www.pism.io/,https://github.com/pism/pism/blob/main/README.rst
ChemSpaX: A Python tool for local chemical space exploration,,https://github.com/EPiCs-group/chemspax/blob/master/CONTRIBUTING.md
ShareTrait website,https://sharetrait.org/,
ewatercycle,https://ewatercycle.readthedocs.io/en/stable/,https://raw.githubusercontent.com/eWaterCycle/ewatercycle/main/README.md
DuMux,https://dumux.org,https://git.iws.uni-stuttgart.de/dumux-repositories/dumux/-/blob/master/README.md?ref_type=heads
CHAMP-EU,https://trex-coe.github.io/champ-user-manual/,https://raw.githubusercontent.com/filippi-claudia/champ/main/README.md
Aiida-CHAMP,,https://raw.githubusercontent.com/TREX-CoE/aiida-champ/master/README.md
Trustchain,,https://raw.githubusercontent.com/alan-turing-institute/trustchain/main/README.md
QMCTorch,https://qmctorch.readthedocs.io/en/latest/,https://raw.githubusercontent.com/NLESC-JCER/QMCTorch/master/README.md
Turing Data Safe Haven,https://data-safe-haven.readthedocs.io/en/latest/,https://raw.githubusercontent.com/alan-turing-institute/data-safe-haven/main/README.md
MapReader,https://mapreader.readthedocs.io/en/latest/,https://raw.githubusercontent.com/maps-as-data/MapReader/main/README.md
sirup,https://sirup-vpn.readthedocs.io/en/latest/,https://raw.githubusercontent.com/ivory-tower-private-power/sirup/main/README.md
trex2champ,,https://raw.githubusercontent.com/neelravi/trex2champ/main/README.md
TulipaEnergyModel,,https://raw.githubusercontent.com/TulipaEnergy/TulipaEnergyModel.jl/main/README.md
iScore,https://iscoredoc.readthedocs.io/,https://raw.githubusercontent.com/DeepRank/iScore/master/README.md
eitprocessing,,https://raw.githubusercontent.com/EIT-ALIVE/eitprocessing/main/README.md
GSA report,https://www.nikivanstein.nl/GSAreport/1.0.1/,https://raw.githubusercontent.com/nikivanstein/GSAreport/main/README.md
OpenChrom,https://lablicate.com/marketplace/extensions/handbook,https://raw.githubusercontent.com/OpenChrom/openchrom/master/README.md
JUBE,https://apps.fz-juelich.de/jsc/jube/jube2/docu/index.html,https://raw.githubusercontent.com/FZJ-JSC/JUBE/master/README.md
slurm-mongo,,https://raw.githubusercontent.com/neelravi/slurm-mongo/main/README.md
GameBus FHIR Layer,https://fhir-layer.readthedocs.io,https://raw.githubusercontent.com/nwo-strap/gamebus-fhir-layer/main/README.md
emvoice,https://emvoice.readthedocs.io/en/latest/index.html,https://raw.githubusercontent.com/mexca/emvoice/main/README.md
LXCat schema,https://www.npmjs.com/package/@lxcat/schema,https://gitlab.com/LXCat-project/lxcat/-/blob/main/packages/schema/README.md
snakemake-wrf,https://blog.esciencecenter.nl/un-wieldy-workflows-with-wrf-4a4947b88a98,https://raw.githubusercontent.com/Urban-M4/snakemake-wrf/main/README.md
pyTAMS,,https://raw.githubusercontent.com/nlesc-eTAOC/pyTAMS/main/README.md
Rucio policy package for KM3NeT,,
Mixed Meal Model SBML,,https://raw.githubusercontent.com/Computational-Biology-TUe/mixed_meal_model_sbml/main/README.md
EC-Earth,https://ec-earth-4-docs.readthedocs.io/en/latest/,
LinkAhead,https://docs.indiscale.com/,https://gitlab.com/linkahead/linkahead-server/-/blob/main/README.md?ref_type=heads
scikit-talk,https://sktalk.readthedocs.io/en/latest/?badge=latest,https://raw.githubusercontent.com/elpaco-escience/scikit-talk/main/README.md
imas2xarray,https://imas2xarray.readthedocs.io,https://raw.githubusercontent.com/duqtools/imas2xarray/main/README.md
test-bitbucket,,
talkr,,https://raw.githubusercontent.com/elpaco-escience/talkr/main/README.md
flamingo,https://flamingo-molecular-properties-calculator.readthedocs.io/en/latest/,Not Found
Cerise,http://cerise.readthedocs.io/en/latest/introduction.html,https://raw.githubusercontent.com/MD-Studio/cerise/master/README.md
Excel-to-fhir,,https://raw.githubusercontent.com/nwo-strap/excel-to-fhir/main/README.md
Harmony,https://www.youtube.com/watch?v=cEZppTBj1NI&t=1s,https://raw.githubusercontent.com/harmonydata/harmony/main/README.md
WRF-runner,https://blog.esciencecenter.nl/un-wieldy-workflows-with-wrf-4a4947b88a98,https://raw.githubusercontent.com/Urban-M4/wrf-runner/main/README.md
Revisited Via Appia,https://via-appia.netlify.app,https://raw.githubusercontent.com/Via-Appia/via-appia-online-viewer/main/README.md
mexca,https://mexca.readthedocs.io/en/latest/,https://raw.githubusercontent.com/mexca/mexca/main/README.md
LLview,https://llview.fz-juelich.de/,https://raw.githubusercontent.com/FZJ-JSC/LLview/main/README.md
JURI,,https://raw.githubusercontent.com/FZJ-JSC/JURI/main/README.md
asreview-simulation,,https://raw.githubusercontent.com/asreview-simulation/asreview-simulation/main/README.md
CMLXOM,,https://raw.githubusercontent.com/BlueObelisk/cmlxom/main/README.md
APE,https://ape-framework.readthedocs.io/en/latest/,https://raw.githubusercontent.com/sanctuuary/APE/main/README.md
kunefe,,https://raw.githubusercontent.com/mess-nlesc/kunefe/main/README.md
iBridges,https://ibridges.readthedocs.io/en/v0.2.3/quickstart.html,https://raw.githubusercontent.com/iBridges-for-iRODS/iBridges/main/README.md
Unraphael,https://unraphael.readthedocs.io/en/latest/,https://raw.githubusercontent.com/DecodingRaphael/unraphael/main/README.md
